Location,Site ,Point ID,Point ,Site number,Pre Leaf Litter Weight- Fine (g),Pre Leaf Litter Weight- Coarse (g),Pre Teabag Weight (g),Pre Wettex Weight,Post Leaf Litter-Fine ,Post Leaf Litter-Coarse,Post Wettex- Fine ,Post Wettex -Coarse,Coarse Leaf k,Fine leaf k ,Coarse wettex k,Fine wettex k ,Teabag k f,Teabag 2 k c,Temperature,Gammarus,Asellus ,Leech ,Caseless Caddis,Cased Caddis,Mayfly,Snail,Site ID,Imidacloprid Concentration ,Fipronil Concentration,Unit ,Percentage Urban,Percentage Suburban ,Percentage Urban and Suburban,Sum_Urban,Sum_Suburban,Total Area ,Imidacloprid 
Norfolk,Pensthorpe,13e,e,77,4.937,4.927,1.9,2.44,3.744,3.752,2.42,2.149,0.03626277,0.036112156,0.041939891,0.047619048,0.018721805,0.018621554,16.239,3,1,,,2,,,13e,0.0031,0.0021,,0.8,6.627412989,7.427412989,621230.4277,5119958,77254247,Absent
Norfolk,Pensthorpe,13f,f,78,4.909,4.934,1.9,2.44,3.771,2.943,1.548,1.904,0.028403498,0.036580042,0.03715847,0.030210773,0.019473684,0.018270677,16.239,10,,,,,,,13f,0.0031,0.0021,,0.8,6.627412989,7.427412989,621230.4277,5119958,77254247,Absent
Norfolk,Sculthorpe,14a,a,79,5.002,4.952,1.9,2.44,4.496,2.34,2.31,0.926,0.022501731,0.042801927,0.018071819,0.045081967,0.020526316,0.021353383,15.043,2,,,,5,,,14a,0.0031,0.0021,,0.75,5.986347909,6.736347909,576121.4725,4624708,77254247,Absent
Norfolk,Sculthorpe,14b,b,80,4.919,4.965,1.9,2.44,4.158,3.166,1.836,1.511,0.030364936,0.040252084,0.029488681,0.035831382,0.019423559,0.021403509,15.043,28,,,,4,,,14b,0.0031,0.0021,,0.75,5.986347909,6.736347909,576121.4725,4624708,77254247,Absent
Norfolk,Sculthorpe,14c,c,81,5.026,4.981,1.9,2.44,3.869,2.61,2.24,1.64,0.02495196,0.036657003,0.032006245,0.043715847,0.019498747,0.019448622,15.043,19,,,,14,,,14c,0.0031,0.0021,,0.75,5.986347909,6.736347909,576121.4725,4624708,77254247,Absent
Norfolk,Sculthorpe,14d,d,82,4.917,4.937,1.9,2.44,4.871,1.778,2.103,1.36,0.017149416,0.047861162,0.026541764,0.041042155,0.020977444,0.023032581,15.043,10,,,,18,,,14d,0.0031,0.0021,,0.75,5.986347909,6.736347909,576121.4725,4624708,77254247,Absent
Norfolk,Sculthorpe,14e,e,83,4.963,5.012,1.9,2.44,4.899,4.154,1.777,2.232,0.039467184,0.047619048,0.043559719,0.034679938,0.018320802,0.020626566,15.043,5,,,,8,,,14e,0.0031,0.0021,,0.75,5.986347909,6.736347909,576121.4725,4624708,77254247,Absent
Norfolk,Sculthorpe,14f,f,84,4.949,4.958,1.9,2.44,3.897,3.347,2.071,0.6,0.032146219,0.037496753,0.011709602,0.040417642,0.019899749,0.021528822,15.043,3,,1,,,,36,14f,0.0031,0.0021,,0.75,5.986347909,6.736347909,576121.4725,4624708,77254247,Absent
Norfolk,Bintry Mill Trout Fishery,15a,a,85,4.932,5.005,1.9,2.44,4.242,1.593,1.921,1.281,0.015156272,0.040957015,0.025,0.037490242,0.019323308,0.018195489,17.003,2,,,,5,1,,15a,0.0031,0.0021,,0.13,4.077422436,4.207422436,103214.4891,3149982,77254247,Absent
Norfolk,Bintry Mill Trout Fishery,15b,b,86,4.981,5.034,1.9,2.44,3.971,2.04,1.983,1.218,0.019297349,0.037963308,0.023770492,0.038700234,0.018421053,0.018571429,17.003,10,,,,,1,,15b,0.0031,0.0021,,0.13,4.077422436,4.207422436,103214.4891,3149982,77254247,Absent
Norfolk,Bintry Mill Trout Fishery,15c,c,87,4.909,4.918,1.9,2.44,4.399,1.326,0.873,0.578,0.012839133,0.042671866,0.01128025,0.017037471,0.019498747,0.019699248,17.003,8,,,,3,1,,15c,0.0031,0.0021,,0.13,4.077422436,4.207422436,103214.4891,3149982,77254247,Absent
Norfolk,Bintry Mill Trout Fishery,15d,d,88,4.955,5.083,1.9,2.44,4.904,2.257,1.767,0.206,0.021144244,0.047619048,0.004020297,0.034484778,0.019298246,0.021253133,17.003,4,,,,1,2,,15d,0.0031,0.0021,,0.13,4.077422436,4.207422436,103214.4891,3149982,77254247,Absent
Norfolk,Bintry Mill Trout Fishery,15e,e,89,4.923,4.974,1.9,2.44,4.762,2.294,2.055,0.913,0.021961821,0.046061732,0.017818111,0.040105386,0.018947368,0.019172932,17.003,3,,,,,,,15e,0.0031,0.0021,,0.13,4.077422436,4.207422436,103214.4891,3149982,77254247,Absent
Norfolk,Bintry Mill Trout Fishery,15f,f,90,4.933,4.975,1.9,2.44,4.667,2.209,1.818,1.359,0.021143814,0.045051307,0.026522248,0.035480094,0.018897243,0.019348371,17.003,4,,,,2,4,,15f,0.0031,0.0021,,0.13,4.077422436,4.207422436,103214.4891,3149982,77254247,Absent
